"Week","Date","Fuel","Variable","Value","Unit","Status"
"2006w06",2006-02-10,"Regular Petrol","Board price",143.2,"NZD c/L","Final"
"2006w06",2006-02-10,"Regular Petrol","Adjusted retail price",143.2,"NZD c/L","Final"
"2006w06",2006-02-10,"Regular Petrol","Importer margin",15.3,"NZD c/L","Final"
"2006w06",2006-02-10,"Regular Petrol","Importer margin trend",14.1502551680886,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","Importer cost",71.25185714,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","Price excluding tax",82.91277778,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","GST",16.32222222,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","Board price",146.9,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","Adjusted retail price",146.9,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","Importer margin",11.66092064,"NZD c/L","Final"
"2006w06",2006-02-10,"Premium Petrol 95R","Importer margin trend",11.8624156816344,"NZD c/L","Final"
"2006w07",2006-02-17,"NA","Dubai crude price",56.38,"USD/bbl","Final"
"2006w07",2006-02-17,"NA","Dubai crude price",83.53,"NZD/bbl","Final"
"2006w07",2006-02-17,"NA","Exchange rate",0.675,"USD/NZD","Final"
"2006w07",2006-02-17,"Diesel","Importer cost",78.8,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","Price excluding tax",93.8,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","ETS",0,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","GST",11.8,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","Taxes",0.299999999999999,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","Board price",105.9,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","Adjusted retail price",105.9,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","Importer margin",15.2,"NZD c/L","Final"
"2006w07",2006-02-17,"Diesel","Importer margin trend",14.9964028381183,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","Importer cost",62.6,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","Price excluding tax",78.5,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","GST",15.8,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","Taxes",47.6,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","Board price",141.9,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","Adjusted retail price",141.9,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","Importer margin",15.2,"NZD c/L","Final"
"2006w07",2006-02-17,"Regular Petrol","Importer margin trend",14.208197886297,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","Importer cost",71.63342857,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","Price excluding tax",82.91277778,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","GST",16.32222222,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","Board price",146.9,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","Adjusted retail price",146.9,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","Importer margin",11.27934921,"NZD c/L","Final"
"2006w07",2006-02-17,"Premium Petrol 95R","Importer margin trend",11.8878530681635,"NZD c/L","Final"
"2006w08",2006-02-24,"NA","Dubai crude price",56.02,"USD/bbl","Final"
"2006w08",2006-02-24,"NA","Dubai crude price",84.37,"NZD/bbl","Final"
"2006w08",2006-02-24,"NA","Exchange rate",0.664,"USD/NZD","Final"
"2006w08",2006-02-24,"Diesel","Importer cost",80.8,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","Price excluding tax",94.2,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","ETS",0,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","GST",11.8,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","Taxes",0.399999999999999,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","Board price",106.3,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","Adjusted retail price",106.3,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","Importer margin",15.3,"NZD c/L","Final"
"2006w08",2006-02-24,"Diesel","Importer margin trend",14.9647389989931,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","Importer cost",66.5,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","Price excluding tax",80.8,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","GST",16.1,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","Taxes",47.6,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","Board price",144.5,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","Adjusted retail price",144.5,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","Importer margin",18.1,"NZD c/L","Final"
"2006w08",2006-02-24,"Regular Petrol","Importer margin trend",14.2661406045054,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","Importer cost",74.767,"NZD c/L","Final"
