quarter,gdp_real,gdp_growth_qoq,gdp_per_capita,cpi_all,cpi_food,cpi_housing,cpi_petrol,gdp_growth_yoy,inflation_yoy,food_inflation,housing_inflation,petrol_inflation
1988-03-31,26882.0,0.0,,515.634685970636,497.112210486322,,465.402176785714,,8.977719486832392,6.603131331198675,,4.389715316398024
1988-06-30,26818.0,-0.2,,519.665504078303,504.095906534954,,457.232045535714,1.3913043478260834,6.345177725132922,5.7256990672727825,,-1.8130806187217963
1988-09-30,27491.0,2.5,,524.316448613377,508.540077507599,,452.923263392857,2.463660081997765,5.6214865858772445,5.464121137511291,,-2.7392917174719256
1988-12-31,27296.0,-0.7,,530.517707177814,518.380740881459,,447.433257142857,1.5287334945136788,4.712362201490694,6.801831348579546,,-3.8831218726619543
1989-03-31,27720.0,1.5,,536.353402120718,522.009405775076,,445.433230357143,3.117327579793172,4.01809977369556,5.008365267149073,,-4.290686082838279
1989-06-30,27796.0,0.3,,542.719615008157,533.932162613982,,463.071049107143,3.646804385114466,4.436336595161072,5.918765792826197,,1.277032882633522
1989-09-30,27107.0,-2.5,,561.818252039152,569.182053191489,,463.326085714286,-1.3968207777090735,7.152513243662928,11.924719086271796,,2.2968178413935503
1989-12-31,27373.0,1.0,,568.714982055465,578.512906534954,,462.986036607143,0.2820926143024538,7.19999999262011,11.59999994429688,,3.4759998761827227
1990-03-31,27540.0,0.6,,574.020159053833,578.512906534954,,467.724355357143,-0.649350649350644,7.02274969901977,10.824230394083045,,5.0043695622186135
1990-06-30,27429.0,-0.4,,584.099995921697,590.43566337386,,470.341840178571,-1.3203338609871884,7.624633377755852,10.582524282345673,,1.5701243006763121
1990-09-30,27751.0,1.2,,589.9356908646,598.211374620061,,477.697641964286,2.3757700962850903,5.004721495500397,5.100182141337761,,3.1018232499998577
1990-12-31,28215.0,1.7,,596.301902936378,597.692993920973,,543.944610714286,3.0760238190918,4.850746287922214,3.315412183437627,,17.486180512143324
1991-03-31,27136.0,-3.8,7794.0,600.015526916803,597.692993920973,,518.011378571429,-1.4669571532316628,4.528650684641211,3.315412183437627,,10.751422849444726
1991-06-30,26872.0,-1.0,7696.0,600.546044861338,596.137851823708,,490.310785714286,-2.0306974370192132,2.815622163066367,0.9657594897409583,,4.245623890941452
1991-09-30,27280.0,1.5,7795.0,602.668115823817,598.729755319149,,493.514408035714,-1.6972361356347498,2.1582733773161777,0.08665510571699286,,3.311041270036341
1991-12-31,27270.0,0.0,7768.0,602.137597879282,592.509186170213,,507.738310714286,-3.349282296650713,0.9786477142144312,-0.8673027463068195,,-6.656247582351327
1992-03-31,27387.0,0.4,7777.0,604.790186786297,591.990805471125,,499.782948214286,0.9249705188679291,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684
1992-06-30,27631.0,0.9,7829.0,606.381739804241,591.472424772036,,499.993241964286,2.8245013396844376,0.9717314755191442,-0.7826087602724074,,1.974758975757518
1992-09-30,27103.0,-1.9,7666.0,608.50380995106,601.32165881459,,510.803228571429,-0.6488269794721391,0.9683097502621196,0.43290039828727256,,3.5032048212184863
1992-12-31,27460.0,1.3,7744.0,610.095363784666,602.876800911854,,522.682582142857,0.6967363403006965,1.3215859520167905,1.7497812664566403,,2.943301916207064
1993-03-31,28037.0,2.1,7879.0,610.62588091354,608.060608662614,,519.259717857143,2.373388834118373,0.9649121719802256,2.714535942614882,,3.8970456500060813
