STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008,,57.3361375176115,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010,,61.1722123187269,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,62.714955527858,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,64.9319967722617,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,67.5574408093132,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,69.7485916251971,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,71.27500410519,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,74.3244599203439,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,76.2050189142735,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,78.6078150944069,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,84.1057287362589,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,91.0410133985688,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999,,32.0143376665699,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000,,33.437509660566,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002,,35.4798446223893,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003,,36.8209472398566,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004,,38.124205339094,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005,,40.8149270119766,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006,,42.6841100129051,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007,,43.8593089430483,,A,Normal value,0,Units,,,2,Two
