election_year,party_vote,lr_self,lr_national,lr_labour,econ_state,age,female,ethnicity_euro,ethnicity_maori,prev_vote,income_bracket,econ_change,education,party_like_lab,party_like_nat,party_like_grn,party_like_nzf,party_like_act,lr_green,vote_national,age_group,education_label
1996,Alliance,3.0,9.0,1.0,2.0,34.0,0.0,False,False,,,,,,,,,,,,30-44,
1996,National,8.0,7.0,3.0,2.0,21.0,0.0,True,False,,,,,,,,,,,1.0,18-29,
1996,Labour,,,,2.0,38.0,1.0,True,False,,,,,,,,,,,0.0,30-44,
1996,NZ First,6.0,9.0,8.0,2.0,66.0,0.0,True,False,,,,,,,,,,,,60+,
1996,Christian,8.0,8.0,2.0,3.0,35.0,1.0,True,False,,,,,,,,,,,,30-44,
1996,Labour,2.0,9.0,2.0,3.0,76.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,Alliance,4.0,9.0,7.0,4.0,40.0,0.0,True,False,,,,,,,,,,,,30-44,
1996,Alliance,0.0,10.0,3.0,2.0,36.0,1.0,True,False,,,,,,,,,,,,30-44,
1996,Labour,4.0,10.0,1.0,2.0,34.0,0.0,True,False,,,,,,,,,,,0.0,30-44,
1996,Labour,3.0,9.0,4.0,2.0,20.0,0.0,True,False,,,,,,,,,,,0.0,18-29,
1996,Labour,3.0,9.0,3.0,3.0,49.0,1.0,True,False,,,,,,,,,,,0.0,45-59,
1996,National,7.0,7.0,4.0,2.0,34.0,1.0,False,True,,,,,,,,,,,1.0,30-44,
1996,Labour,4.0,6.0,4.0,2.0,50.0,0.0,False,False,,,,,,,,,,,0.0,45-59,
1996,Alliance,2.0,10.0,1.0,3.0,58.0,1.0,True,False,,,,,,,,,,,,45-59,
1996,Labour,3.0,7.0,2.0,3.0,44.0,1.0,False,False,,,,,,,,,,,0.0,30-44,
1996,Christian,9.0,8.0,4.0,2.0,63.0,1.0,True,False,,,,,,,,,,,,60+,
1996,NZ First,8.0,8.0,,3.0,58.0,0.0,True,False,,,,,,,,,,,,45-59,
1996,NZ First,8.0,8.0,1.0,5.0,55.0,0.0,True,False,,,,,,,,,,,,45-59,
1996,Christian,6.0,9.0,6.0,2.0,68.0,0.0,True,False,,,,,,,,,,,,60+,
1996,ACT,9.0,8.0,3.0,1.0,39.0,0.0,True,False,,,,,,,,,,,,30-44,
1996,,9.0,9.0,1.0,2.0,57.0,1.0,True,False,,,,,,,,,,,,45-59,
1996,National,6.0,6.0,4.0,2.0,20.0,0.0,True,False,,,,,,,,,,,1.0,18-29,
1996,ACT,9.0,9.0,5.0,3.0,54.0,1.0,True,False,,,,,,,,,,,,45-59,
