date,National,Labour,Green,ACT,NZ First,Te Pāti Māori,TOP
2023-10-14,37.73151461078991,26.949706261321587,12.3458488816426,8.796243764801059,6.24344508683522,3.068570597881811,2.60197832915839
2023-10-15,37.71222473092791,26.939094854427534,12.383729552025162,8.816366761892098,6.259934000418658,3.0649844896047123,2.6247085111010486
2023-10-16,37.69285829654325,26.926642075498275,12.421341984753264,8.838254163498,6.277662121853874,3.060950555076227,2.6477617920981444
2023-10-17,37.67354773591354,26.91223217286243,12.45838224733034,8.86194439798008,6.296639288049072,3.056447963598124,2.6710065375891925
2023-10-18,37.65443294346375,26.895762677051156,12.494533879995261,8.887459515011614,6.316862968414794,3.051459483525594,2.6943011277029503
2023-10-19,37.635658755412784,26.877147353454394,12.529473862887912,8.914803754436884,6.338317590563981,3.045972059164153,2.7174963698958727
2023-10-20,37.610591414015744,26.868113927281215,12.55218129496937,8.92731104874026,6.371527371275509,3.0518715430744607,2.7404383110683317
2023-10-21,37.59178275076041,26.847424183863975,12.581484177258123,8.95487697786179,6.3971685837331345,3.0476633862202487,2.7629713493793653
2023-10-22,37.57357646569926,26.82490432578901,12.608231158572048,8.983548728891064,6.424173805306959,3.043342835295487,2.784941521263138
2023-10-23,37.5514618880224,26.789160048677747,12.63735840993661,9.011186767969578,6.450990491100565,3.048354996642771,2.8073636326368594
2023-10-24,37.533997562581604,26.76119761421269,12.658896532247372,9.040956245642635,6.4801101895667905,3.0458529981312226,2.8278647897759175
2023-10-25,37.51731224766733,26.73144071787391,12.677097560943736,9.071091540246805,6.510312312364342,3.043783242590538,2.8473799944215825
2023-10-26,37.50145517498297,26.70003986156723,12.691741693014247,9.10131026033627,6.541501605079329,3.0422889749516693,2.8657915093655864
2023-10-27,37.48645338457846,26.667178088715495,12.702653104016878,9.131301850944608,6.573572880731042,3.04152843881188,2.882997607602191
2023-10-28,37.47231020054631,26.633069447293906,12.70970347411036,9.160730005826311,6.606412350956977,3.041674238923177,2.898914266791413
2023-10-29,37.459004372592716,26.597956870400814,12.712814323153575,9.189235504803248,6.639898925099641,3.0429123873202975,2.913476291022818
2023-10-30,37.44648990828277,26.56210955561588,12.711958187658725,9.216439441358917,6.6739054036533325,3.045441005318529,2.9266378569167153
2023-10-31,37.434696595431376,26.525819920296204,12.707158730733143,9.241946829835019,6.7082995084569745,3.049468645156607,2.9383725136471903
2023-11-01,37.42353119388017,26.48940019554759,12.698489918184976,9.265350610951685,6.742944713290223,3.0552121860882746,2.948672693674703
2023-11-02,37.41287926166117,26.453178699473334,12.68607441654961,9.286236104597572,6.777700863371246,3.0628942521748845,2.9575488110204993
2023-11-03,37.402607572097246,26.417495804133612,12.670081371107795,9.30418598493011,6.812424598695078,3.0727400952605244,2.9650280359216765
2023-11-04,37.392567074492206,26.382699584849256,12.650723705457947,9.318785869504671,6.846969622179597,3.084973889238476,2.971152838689113
2023-11-05,37.38259634966422,26.349141119763825,12.628255052263693,9.329630616260856,6.881186877252463,3.099814393393124,2.9759793923039646
2023-11-06,37.37252551012187,26.317169396514675,12.602966382324526,9.336331405181587,6.914924718975463,3.1174699657084908,2.979575914004768
2023-11-07,37.36218049050718,26.287125785463374,12.575182352034926,9.338523641883683,6.948029176341436,3.1381329433112795,2.982021012392497
2023-11-08,37.35138766469292,26.259338058168655,12.545257344059975,9.335875656622637,6.980344409402067,3.1619734572986173,2.9834020900461864
2023-11-09,37.33997871003663,26.23411396709733,12.513571139156618,9.328098084957738,7.011713461979442,3.18913281211594,2.9838138338462112
2023-11-10,37.32779561634461,26.21173445738594,12.480524134528306,9.314953709511734,7.041979397768025,3.2197166323302175,2.983356807521102
2023-11-11,37.31469570815868,26.19244665073949,12.446532020888958,9.296267423441886,7.0709868840461345,3.2537880565654196,2.9821361445357497
2023-11-12,37.300556516802594,26.176456819467294,12.41201984981105,9.271935856887175,7.098584253189564,3.291361331478579,2.9802603253003137
2023-11-13,37.28528030759447,26.1639236466381,12.377415465849962,9.241936102761438,7.124626029040356,3.332396217745757,2.9778400116227557
2023-11-14,37.268798043424695,26.15495213554528,12.343142342285846,9.206332905137183,7.148975855645918,3.376793653682486,2.974986904062945
2023-11-15,37.251072554783526,26.149588576078965,12.309611939636003,9.165283649616166,7.171509714153086,3.42439311929556,2.9718125849872385
2023-11-16,37.232100694156685,26.147816985670172,12.277215793557078,9.119040535261774,7.19211926523766,3.47497209564228,2.9684273121660656
2023-11-17,37.21191428371028,26.14955740929564,12.246317621898621,9.067949420511468,7.210715115681541,3.5282479174352974,2.9649387350084395
2023-11-18,37.19057972074222,26.15466638253432,12.217245806695074,9.012445020425691,7.227229784803591,3.583882173564124,2.961450517973382
2023-11-19,37.16819618314596,26.162939736378224,12.19028664365163,8.953042377935073,7.2416201444449495,3.641487630931511,2.958060872848495
2023-11-20,37.144892470775154,26.174117762325054,12.165678749956134,8.890324814510913,7.25386912782869,3.7006374592962135,2.9548610223165444
2023-11-21,37.120822618312054,26.18789257784628,12.143608976772288,8.82492885418918,7.263986547402803,3.7608763414681383,2.9519336396856377
2023-11-22,37.09616050914213,26.20391735679625,12.124210087586864,8.75752687324024,7.272008925774267,3.821732888761928,2.9493513312711377
2023-11-23,37.071093795827906,26.221816938988542,12.107560346216502,8.688808422036011,7.2779983199543405,3.882732668096723,2.947175245608416
2023-11-24,37.04581748113832,26.241199227479527,12.093685022545081,8.619461270006699,7.282040198195853,3.943411099903778,2.945453904247555
2023-11-25,37.037782777234355,26.270938684957404,12.071361541566203,8.546900513443404,7.276937525710227,4.001576665459064,2.9442223495796256
2023-11-26,37.01659797250739,26.29402689207532,12.06049869929345,8.477910663364941,7.275810371346692,4.059621520473926,2.943501694287517
2023-11-27,36.99656649417164,26.317780083048444,12.05173049500072,8.410181165888245,7.272795912246122,4.115924077741474,2.943299134537893
2023-11-28,36.977994277616666,26.341902075750244,12.04483075282613,8.344243646524143,7.26799017365812,4.170120354564009,2.9436084567766008
2023-11-29,36.95717613737546,26.364149210476636,12.041075693818202,8.279273086840197,7.265690345586987,4.225988245690128,2.9486263019544867
2023-11-30,36.94314513213824,26.38872019071623,12.036790689440897,8.218299463490249,7.256783637858059,4.274453772111108,2.9491890236557463
2023-12-01,36.93140713274949,26.412943174042717,12.03353933793683,8.160329264973946,7.246481668058638,4.320061446432854,2.95028460220142
2023-12-02,36.922300728355864,26.436728186595406,12.030959216948935,8.105597748345751,7.23482529365298,4.362621873595231,2.951852257882491
2023-12-03,36.91617531874684,26.460037190764677,12.02866851679061,8.054276886463484,7.22183981188099,4.401981469733944,2.9538278752291682
2023-12-04,36.92101913033571,26.475015803882876,12.033110971216628,8.000631509252303,7.203074789760173,4.437415259444945,2.9604160122532237
2023-12-05,36.92373597540319,26.49552163581509,12.031787946521508,7.955295648800855,7.18647891477333,4.469716995886626,2.96405222596316
2023-12-06,36.93094334483458,26.515306428599402,12.029856931471363,7.913354036751705,7.1683371829197515,4.498431597358558,2.9681306956210536
2023-12-07,36.94313234917094,26.53444380427226,12.026941990192373,7.874745710246084,7.1485665875486735,4.523477716051887,2.9726367963170053
2023-12-08,36.96082854236382,26.553036439777934,12.022665233550246,7.839371386490863,7.1270600913596125,4.544780633151316,2.977568313046925
2023-12-09,36.98459097132375,26.57121038675563,12.016649839289823,7.807099132346345,7.103688394382782,4.562268239456969,2.9829372496862026
2023-12-10,37.01500757488512,26.589108544552957,12.008524370788868,7.777769434918248,7.078303183821958,4.575868479727326,2.9887713261805597
2023-12-11,37.05268582515055,26.60688319868855,11.99792894653075,7.751199585008436,7.050742145532178,4.585508647984981,2.995115111875766
2023-12-12,37.09823747127644,26.62468752346741,11.984523796991846,7.727187373505132,7.020836030621635,4.591116899801305,3.0020307141377494
2023-12-13,37.15225633499568,26.642665976943558,11.968000659892374,7.705514184590232,6.988418039632257,4.592626298888542,3.0095978964731636
2023-12-14,37.21528838858522,26.660943603447624,11.948097280039269,7.685947647053889,6.953335686794462,4.589981617800771,3.017913441478084
2023-12-15,37.287793895282505,26.67961441527262,11.924614967794534,7.668244072317249,6.915465113416903,4.583148942336542,3.027089507058836
2023-12-16,37.3701022722917,26.69872925498319,11.89743871160048,7.652150958264391,6.874727514183615,4.572127865640053,3.0372506609092182
2023-12-17,37.46236156787948,26.7182838326779,11.866558739805988,7.63740986141632,6.831106921003817,4.5569656924298805,3.0485292371209596
2023-12-18,37.56448596537939,26.738207955536716,11.83209173097474,7.623759923301436,6.784668083361609,4.537772621571595,3.0610586679012317
2023-12-19,37.681475567343476,26.750823630188247,11.777924260667628,7.607572113495942,6.739674612480408,4.521347633742618,3.068845764621034
2023-12-20,37.80152520185293,26.77235427321701,11.739840916990726,7.595856159163374,6.687259800247363,4.493495269686018,3.085358978526995
2023-12-21,37.937716710796195,26.79922762934769,11.688594143308515,7.623004307045242,6.622822868242518,4.448670856311249,3.103263093642773
2023-12-22,38.07279761601548,26.82059087289084,11.643808081195495,7.620703874875971,6.56528473043548,4.412278500964537,3.1226036510713464
2023-12-23,38.21273306696304,26.839498020658326,11.606010375204844,7.61913934001487,6.5017253278324,4.377619782778845,3.1223132671272364
2023-12-24,38.35371426212934,26.85785910560335,11.561805561972346,7.619878715137934,6.442193131848295,4.338133511950049,3.1389636364627296
2023-12-25,38.49448467971182,26.874227971613276,11.518748087064319,7.622291795932305,6.38301902410707,4.297705330127604,3.15564273496173
2023-12-26,38.632678661058925,26.888204133661937,11.477893847508422,7.6264779893544805,6.324941150217352,4.257040626613194,3.1719714932197425
